Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='a_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='a_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 2121 images, and takes 133 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 4.484087056683419 | Elapsed time: 387.0964732170105
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/a_gimel_konkle_iid_0.pt
Epoch: 1 | Training loss: 3.8945356275802268 | Elapsed time: 383.1712329387665
Epoch: 2 | Training loss: 3.8188436730463704 | Elapsed time: 382.8275375366211
Epoch: 3 | Training loss: 3.7434994080909214 | Elapsed time: 383.094279050827
Epoch: 4 | Training loss: 3.7004117284502303 | Elapsed time: 382.97928977012634
Epoch: 5 | Training loss: 3.588962364913826 | Elapsed time: 382.89321732521057
Epoch: 6 | Training loss: 3.5790333317634753 | Elapsed time: 382.6607618331909
Epoch: 7 | Training loss: 3.5151994461403753 | Elapsed time: 383.1143047809601
Epoch: 8 | Training loss: 3.436038605252603 | Elapsed time: 383.04194164276123
Epoch: 9 | Training loss: 3.404403057313503 | Elapsed time: 383.0146689414978
Epoch: 10 | Training loss: 3.3021547543375114 | Elapsed time: 382.8417773246765
Epoch: 11 | Training loss: 3.2832610965671396 | Elapsed time: 382.94382667541504
Epoch: 12 | Training loss: 3.2385720901919486 | Elapsed time: 383.0733644962311
Epoch: 13 | Training loss: 3.2172120728887115 | Elapsed time: 382.93162178993225
Epoch: 14 | Training loss: 3.1716509044618535 | Elapsed time: 382.97042441368103
Epoch: 15 | Training loss: 3.078331024126899 | Elapsed time: 383.36794781684875
Epoch: 16 | Training loss: 3.075935663137221 | Elapsed time: 382.9532573223114
Epoch: 17 | Training loss: 3.036481491605142 | Elapsed time: 383.13302183151245
Epoch: 18 | Training loss: 2.990885759654798 | Elapsed time: 382.95149540901184
Epoch: 19 | Training loss: 2.9895024927038896 | Elapsed time: 383.17224383354187
Epoch: 20 | Training loss: 2.9537877202930307 | Elapsed time: 383.15271615982056
Epoch: 21 | Training loss: 2.9359360001140966 | Elapsed time: 383.04803013801575
Epoch: 22 | Training loss: 2.909149797339188 | Elapsed time: 383.3132734298706
Epoch: 23 | Training loss: 2.9206426986178062 | Elapsed time: 382.95582151412964
Epoch: 24 | Training loss: 2.8821917924665867 | Elapsed time: 382.92919421195984
Epoch: 25 | Training loss: 2.8407480143066635 | Elapsed time: 382.868732213974
Epoch: 26 | Training loss: 2.8367359978812083 | Elapsed time: 382.79927468299866
Epoch: 27 | Training loss: 2.8428242905695638 | Elapsed time: 382.9226794242859
Epoch: 28 | Training loss: 2.8097014642299567 | Elapsed time: 382.9248082637787
Epoch: 29 | Training loss: 2.7820716334464857 | Elapsed time: 382.931476354599
Epoch: 30 | Training loss: 2.7712113337409225 | Elapsed time: 382.8718192577362
Epoch: 31 | Training loss: 2.7474784304324844 | Elapsed time: 382.85663199424744
Epoch: 32 | Training loss: 2.7547891050353086 | Elapsed time: 382.9470326900482
Epoch: 33 | Training loss: 2.7628150541979566 | Elapsed time: 382.86697340011597
Epoch: 34 | Training loss: 2.680584262188216 | Elapsed time: 382.9169285297394
Epoch: 35 | Training loss: 2.7301663357512393 | Elapsed time: 382.8880670070648
Epoch: 36 | Training loss: 2.6782746243297604 | Elapsed time: 382.85853123664856
Epoch: 37 | Training loss: 2.686712634294553 | Elapsed time: 383.0206060409546
Epoch: 38 | Training loss: 2.6507168927587066 | Elapsed time: 382.7803945541382
Epoch: 39 | Training loss: 2.640915958504928 | Elapsed time: 382.9878718852997
Epoch: 40 | Training loss: 2.6476927260707197 | Elapsed time: 382.81449460983276
Epoch: 41 | Training loss: 2.6188162520415803 | Elapsed time: 382.95981216430664
Epoch: 42 | Training loss: 2.588536491071371 | Elapsed time: 382.8581066131592
Epoch: 43 | Training loss: 2.619626226281761 | Elapsed time: 382.8470125198364
Epoch: 44 | Training loss: 2.568546546132941 | Elapsed time: 383.11319184303284
Epoch: 45 | Training loss: 2.599692512275581 | Elapsed time: 382.55529403686523
Epoch: 46 | Training loss: 2.5950209771780144 | Elapsed time: 382.5933756828308
Epoch: 47 | Training loss: 2.551674655505589 | Elapsed time: 382.7284023761749
