Namespace(data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='a_gimel_konkle_nonvehicle', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/a_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='a_gimel_konkle_nonvehicle', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 4462 images, and takes 279 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/a_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 5.540868868537274 | Elapsed time: 803.3136370182037
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/a_gimel_konkle_nonvehicle_0.pt
Epoch: 1 | Training loss: 4.764744386023518 | Elapsed time: 795.1917793750763
Epoch: 2 | Training loss: 4.532926619266524 | Elapsed time: 795.1974682807922
Epoch: 3 | Training loss: 4.372277840918538 | Elapsed time: 795.2283501625061
Epoch: 4 | Training loss: 4.3100444227991135 | Elapsed time: 795.2316501140594
Epoch: 5 | Training loss: 4.240911455564602 | Elapsed time: 795.198454618454
Epoch: 6 | Training loss: 4.208159204024995 | Elapsed time: 795.2240397930145
Epoch: 7 | Training loss: 4.164578913787787 | Elapsed time: 795.4397463798523
Epoch: 8 | Training loss: 4.060575951812088 | Elapsed time: 795.1764476299286
Epoch: 9 | Training loss: 3.921233863386202 | Elapsed time: 795.2522070407867
Epoch: 10 | Training loss: 3.828301198166331 | Elapsed time: 795.1118276119232
Epoch: 11 | Training loss: 3.8068963336260944 | Elapsed time: 795.2245750427246
Epoch: 12 | Training loss: 3.7478768919531165 | Elapsed time: 795.2182128429413
Epoch: 13 | Training loss: 3.726955100199655 | Elapsed time: 795.2426815032959
Epoch: 14 | Training loss: 3.687557483659423 | Elapsed time: 795.137451171875
Epoch: 15 | Training loss: 3.662938476890646 | Elapsed time: 795.1832387447357
Epoch: 16 | Training loss: 3.620344214969211 | Elapsed time: 795.1573207378387
Epoch: 17 | Training loss: 3.564447280753898 | Elapsed time: 795.1707329750061
Epoch: 18 | Training loss: 3.541445865426012 | Elapsed time: 795.2325489521027
Epoch: 19 | Training loss: 3.4954462871756604 | Elapsed time: 795.1353669166565
Epoch: 20 | Training loss: 3.503026326497396 | Elapsed time: 795.0861082077026
Epoch: 21 | Training loss: 3.420703627302655 | Elapsed time: 795.0881941318512
Epoch: 22 | Training loss: 3.3880398931469116 | Elapsed time: 795.2198185920715
Epoch: 23 | Training loss: 3.36040387016898 | Elapsed time: 795.0871629714966
Epoch: 24 | Training loss: 3.335433435269154 | Elapsed time: 795.1733312606812
Epoch: 25 | Training loss: 3.3128436047543763 | Elapsed time: 795.1672537326813
Epoch: 26 | Training loss: 3.2642493213803965 | Elapsed time: 795.1242053508759
Epoch: 27 | Training loss: 3.2336144344781035 | Elapsed time: 795.1108918190002
Epoch: 28 | Training loss: 3.1931662209145055 | Elapsed time: 795.1135222911835
Epoch: 29 | Training loss: 3.1618315122460805 | Elapsed time: 795.2516269683838
Epoch: 30 | Training loss: 3.1408069351668 | Elapsed time: 795.1555109024048
Epoch: 31 | Training loss: 3.1261052145325583 | Elapsed time: 795.1194071769714
Epoch: 32 | Training loss: 3.1293494128839088 | Elapsed time: 795.0644178390503
Epoch: 33 | Training loss: 3.055009451391022 | Elapsed time: 795.085969209671
Epoch: 34 | Training loss: 3.0281288982719503 | Elapsed time: 795.2218134403229
Epoch: 35 | Training loss: 3.0167383293097165 | Elapsed time: 795.145792722702
Epoch: 36 | Training loss: 3.0177250498084613 | Elapsed time: 795.2169625759125
Epoch: 37 | Training loss: 2.988552201178766 | Elapsed time: 795.1593005657196
Epoch: 38 | Training loss: 2.9733231059112 | Elapsed time: 795.3588755130768
Epoch: 39 | Training loss: 2.9436509686131633 | Elapsed time: 795.1140358448029
Epoch: 40 | Training loss: 2.9157984043107663 | Elapsed time: 795.237420797348
Epoch: 41 | Training loss: 2.9276094889555355 | Elapsed time: 795.1495678424835
Epoch: 42 | Training loss: 2.8853881478736905 | Elapsed time: 795.2984058856964
Epoch: 43 | Training loss: 2.931210543519707 | Elapsed time: 795.1779291629791
Epoch: 44 | Training loss: 2.890456530355638 | Elapsed time: 795.1709995269775
Epoch: 45 | Training loss: 2.8770121968347966 | Elapsed time: 795.2307136058807
Epoch: 46 | Training loss: 2.90010126303601 | Elapsed time: 795.1755485534668
Epoch: 47 | Training loss: 2.8356273212740497 | Elapsed time: 795.1056213378906
Epoch: 48 | Training loss: 2.8235564684782406 | Elapsed time: 795.2889020442963
Epoch: 49 | Training loss: 2.823392232686388 | Elapsed time: 795.2121999263763
Epoch: 50 | Training loss: 2.807785903253863 | Elapsed time: 795.1973595619202
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/a_gimel_konkle_nonvehicle_50.pt
Epoch: 51 | Training loss: 2.787865801951364 | Elapsed time: 795.1187450885773
Epoch: 52 | Training loss: 2.7880454033506386 | Elapsed time: 795.1335577964783
Epoch: 53 | Training loss: 2.7746974306721843 | Elapsed time: 795.1141695976257
Epoch: 54 | Training loss: 2.7613206405366193 | Elapsed time: 795.255767583847
Epoch: 55 | Training loss: 2.7763441719889213 | Elapsed time: 795.1315565109253
Epoch: 56 | Training loss: 2.7422018756148634 | Elapsed time: 795.1307942867279
Epoch: 57 | Training loss: 2.7537345476047967 | Elapsed time: 795.3116407394409
Epoch: 58 | Training loss: 2.727474329292133 | Elapsed time: 795.2554068565369
Epoch: 59 | Training loss: 2.7290341285821786 | Elapsed time: 795.1807975769043
Epoch: 60 | Training loss: 2.6921811296093847 | Elapsed time: 795.1981685161591
Epoch: 61 | Training loss: 2.6869634385604586 | Elapsed time: 795.2062087059021
Epoch: 62 | Training loss: 2.6966538177168924 | Elapsed time: 795.2695310115814
Epoch: 63 | Training loss: 2.6672087138698948 | Elapsed time: 795.5350441932678
Epoch: 64 | Training loss: 2.6713752050126325 | Elapsed time: 795.2762758731842
Epoch: 65 | Training loss: 2.65888665440262 | Elapsed time: 795.234664440155
Epoch: 66 | Training loss: 2.652336728615573 | Elapsed time: 795.2488005161285
Epoch: 67 | Training loss: 2.6567156665214076 | Elapsed time: 795.2380881309509
Epoch: 68 | Training loss: 2.6303924360582904 | Elapsed time: 795.2726633548737
Epoch: 69 | Training loss: 2.647399460543014 | Elapsed time: 795.3007595539093
Epoch: 70 | Training loss: 2.6121935357329664 | Elapsed time: 795.3339822292328
Epoch: 71 | Training loss: 2.624993002115612 | Elapsed time: 795.2494311332703
Epoch: 72 | Training loss: 2.6035867878185806 | Elapsed time: 795.3985924720764
Epoch: 73 | Training loss: 2.5972344422425846 | Elapsed time: 795.3051080703735
Epoch: 74 | Training loss: 2.6140662021534418 | Elapsed time: 795.2578949928284
