Namespace(batch_size=32, block_size=255, data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', dist_backend='nccl', dist_url='env://', epochs=1000, gpt_config='GPT_gimel', gpu=None, local_rank=-1, lr=0.0003, num_workers=16, optimizer='Adam', rank=-1, resume='/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_10_gimel.pt', save_dir='/scratch/eo41/visual-recognition-memory/gpt_finetuned_models', save_freq=100, save_prefix='imagenet10_gimel_konkle_nonvehicle', seed=0, subsample=1.0, vocab_size=16384, vqconfig_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.yaml', vqmodel_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.ckpt', world_size=-1)
model:
  base_learning_rate: 4.5e-06
  params:
    ddconfig:
      attn_resolutions:
      - 16
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_num_layers: 2
        disc_start: 0
        disc_weight: 0.75
      target: vqloss.VQLPIPSWithDiscriminator
    monitor: val/rec_loss
    n_embed: 16384
  target: vqmodel.VQModel

Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Loaded VQ encoder.
Data loaded: dataset contains 4462 images, and takes 140 training iterations per epoch.
Number of parameters: 750659840
Running on 1 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_10_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 3.785924765041896 | Elapsed time: 114.09072136878967
Saving model to: /scratch/eo41/visual-recognition-memory/gpt_finetuned_models/imagenet10_gimel_konkle_nonvehicle_0.pt
Epoch: 1 | Training loss: 3.6834373644420078 | Elapsed time: 106.76414847373962
Epoch: 2 | Training loss: 3.6204921552113123 | Elapsed time: 106.86263298988342
Epoch: 3 | Training loss: 3.561602795124054 | Elapsed time: 106.68367743492126
Epoch: 4 | Training loss: 3.504259332588741 | Elapsed time: 106.83304047584534
Epoch: 5 | Training loss: 3.435401541846139 | Elapsed time: 106.82456874847412
Epoch: 6 | Training loss: 3.3742397955485752 | Elapsed time: 106.89972448348999
Epoch: 7 | Training loss: 3.3086564796311513 | Elapsed time: 106.72522854804993
Epoch: 8 | Training loss: 3.2503502334867207 | Elapsed time: 106.84855318069458
Epoch: 9 | Training loss: 3.1871427995818 | Elapsed time: 106.86462354660034
Epoch: 10 | Training loss: 3.134074185575758 | Elapsed time: 106.86185836791992
Epoch: 11 | Training loss: 3.071306324005127 | Elapsed time: 106.8898503780365
Epoch: 12 | Training loss: 3.024308068411691 | Elapsed time: 106.802255153656
Epoch: 13 | Training loss: 2.9770005481583732 | Elapsed time: 106.87902760505676
Epoch: 14 | Training loss: 2.933506579058511 | Elapsed time: 106.89132976531982
Epoch: 15 | Training loss: 2.897190696852548 | Elapsed time: 106.8560881614685
Epoch: 16 | Training loss: 2.854677907058171 | Elapsed time: 107.03681945800781
Epoch: 17 | Training loss: 2.8241252660751344 | Elapsed time: 106.80683064460754
Epoch: 18 | Training loss: 2.785482510498592 | Elapsed time: 106.836266040802
Epoch: 19 | Training loss: 2.756832824434553 | Elapsed time: 107.02087473869324
Epoch: 20 | Training loss: 2.7270652651786804 | Elapsed time: 106.86098003387451
Epoch: 21 | Training loss: 2.6968117492539543 | Elapsed time: 106.83121967315674
Epoch: 22 | Training loss: 2.6711332542555675 | Elapsed time: 106.83477187156677
Epoch: 23 | Training loss: 2.64744040284838 | Elapsed time: 106.95589065551758
Epoch: 24 | Training loss: 2.6255069426127844 | Elapsed time: 106.7849133014679
