Namespace(data_path='/vast/eo41/data/konkle_iid/train', vqconfig_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.yaml', vqmodel_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/visual-recognition-memory/gpt_finetuned_models', save_freq=50, save_prefix='imagenet100_gimel_konkle_iid', gpt_config='GPT_gimel', vocab_size=16384, block_size=255, batch_size=32, lr=0.0003, optimizer='Adam', epochs=1000, subsample=1.0, resume='/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 4.5e-06
  params:
    ddconfig:
      attn_resolutions:
      - 16
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_num_layers: 2
        disc_start: 0
        disc_weight: 0.75
      target: vqloss.VQLPIPSWithDiscriminator
    monitor: val/rec_loss
    n_embed: 16384
  target: vqmodel.VQModel

Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Loaded VQ encoder.
Data loaded: dataset contains 2121 images, and takes 67 training iterations per epoch.
Number of parameters: 750659840
Running on 1 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 3.547493187349234 | Elapsed time: 170.89117980003357
Saving model to: /scratch/eo41/visual-recognition-memory/gpt_finetuned_models/imagenet100_gimel_konkle_iid_0.pt
Epoch: 1 | Training loss: 3.4748055258793618 | Elapsed time: 165.73292231559753
Epoch: 2 | Training loss: 3.422000707085453 | Elapsed time: 165.92822337150574
Epoch: 3 | Training loss: 3.3680674140133076 | Elapsed time: 165.9728639125824
Epoch: 4 | Training loss: 3.317606527413895 | Elapsed time: 165.8356068134308
Epoch: 5 | Training loss: 3.265213941460225 | Elapsed time: 165.76092505455017
Epoch: 6 | Training loss: 3.2242826952863095 | Elapsed time: 166.03783655166626
Epoch: 7 | Training loss: 3.184237280888344 | Elapsed time: 166.0637538433075
Epoch: 8 | Training loss: 3.1403247135788646 | Elapsed time: 166.00157260894775
Epoch: 9 | Training loss: 3.0983591222051365 | Elapsed time: 165.8857831954956
Epoch: 10 | Training loss: 3.0662918411084075 | Elapsed time: 165.86414694786072
Epoch: 11 | Training loss: 3.0294922358954133 | Elapsed time: 166.0466821193695
Epoch: 12 | Training loss: 2.9965830596525276 | Elapsed time: 165.8018388748169
Epoch: 13 | Training loss: 2.9594997932661826 | Elapsed time: 165.89657950401306
Epoch: 14 | Training loss: 2.9299103430847624 | Elapsed time: 166.044287443161
Epoch: 15 | Training loss: 2.9027022710487023 | Elapsed time: 165.7020275592804
Epoch: 16 | Training loss: 2.8734147797769576 | Elapsed time: 165.89052176475525
Epoch: 17 | Training loss: 2.855056851657469 | Elapsed time: 165.86036729812622
Epoch: 18 | Training loss: 2.83682177315897 | Elapsed time: 165.68612003326416
Epoch: 19 | Training loss: 2.8039304356076826 | Elapsed time: 165.77480626106262
Epoch: 20 | Training loss: 2.7818709558515406 | Elapsed time: 165.85916662216187
Epoch: 21 | Training loss: 2.7551443754737055 | Elapsed time: 165.99265313148499
Epoch: 22 | Training loss: 2.7390965312274536 | Elapsed time: 165.93381261825562
Epoch: 23 | Training loss: 2.713504431852654 | Elapsed time: 165.85068464279175
Epoch: 24 | Training loss: 2.6927684883573164 | Elapsed time: 165.85509276390076
Epoch: 25 | Training loss: 2.675830325083946 | Elapsed time: 165.91621112823486
Epoch: 26 | Training loss: 2.6662053741625886 | Elapsed time: 165.99229216575623
Epoch: 27 | Training loss: 2.6387602535646355 | Elapsed time: 165.96669101715088
Epoch: 28 | Training loss: 2.6186911490426135 | Elapsed time: 166.03964042663574
Epoch: 29 | Training loss: 2.605114435082051 | Elapsed time: 165.93169927597046
Epoch: 30 | Training loss: 2.579383711316692 | Elapsed time: 166.00931334495544
