Namespace(batch_size=32, block_size=255, data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', dist_backend='nccl', dist_url='env://', epochs=1000, gpt_config='GPT_gimel', gpu=None, local_rank=-1, lr=0.0003, num_workers=16, optimizer='Adam', rank=-1, resume='/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_gimel.pt', save_dir='/scratch/eo41/visual-recognition-memory/gpt_finetuned_models', save_freq=100, save_prefix='imagenet100_gimel_konkle_nonvehicle', seed=0, subsample=1.0, vocab_size=16384, vqconfig_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.yaml', vqmodel_path='/scratch/eo41/visual-recognition-memory/vqgan_pretrained_models/imagenet_16x16_16384.ckpt', world_size=-1)
model:
  base_learning_rate: 4.5e-06
  params:
    ddconfig:
      attn_resolutions:
      - 16
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_num_layers: 2
        disc_start: 0
        disc_weight: 0.75
      target: vqloss.VQLPIPSWithDiscriminator
    monitor: val/rec_loss
    n_embed: 16384
  target: vqmodel.VQModel

Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Loaded VQ encoder.
Data loaded: dataset contains 4462 images, and takes 140 training iterations per epoch.
Number of parameters: 750659840
Running on 1 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/visual-recognition-memory/gpt_pretrained_models/imagenet_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 3.5504088044166564 | Elapsed time: 115.27275896072388
Saving model to: /scratch/eo41/visual-recognition-memory/gpt_finetuned_models/imagenet100_gimel_konkle_nonvehicle_0.pt
Epoch: 1 | Training loss: 3.481023757798331 | Elapsed time: 107.1202871799469
Epoch: 2 | Training loss: 3.4287209851401195 | Elapsed time: 107.28059315681458
Epoch: 3 | Training loss: 3.3841236659458707 | Elapsed time: 107.23921585083008
Epoch: 4 | Training loss: 3.3443717837333677 | Elapsed time: 107.21213173866272
Epoch: 5 | Training loss: 3.2986950874328613 | Elapsed time: 107.28806972503662
Epoch: 6 | Training loss: 3.265345871448517 | Elapsed time: 107.33302712440491
Epoch: 7 | Training loss: 3.2291507720947266 | Elapsed time: 107.07951545715332
Epoch: 8 | Training loss: 3.1987696869032725 | Elapsed time: 107.19758343696594
Epoch: 9 | Training loss: 3.1650936927114213 | Elapsed time: 107.1971709728241
Epoch: 10 | Training loss: 3.136730360984802 | Elapsed time: 107.3980987071991
Epoch: 11 | Training loss: 3.103993787084307 | Elapsed time: 107.30550909042358
Epoch: 12 | Training loss: 3.0782864144870214 | Elapsed time: 107.16170573234558
Epoch: 13 | Training loss: 3.046864722456251 | Elapsed time: 107.31081652641296
Epoch: 14 | Training loss: 3.021598882334573 | Elapsed time: 107.1836199760437
Epoch: 15 | Training loss: 3.0025226967675347 | Elapsed time: 107.17978692054749
Epoch: 16 | Training loss: 2.9741202899387904 | Elapsed time: 107.21837830543518
Epoch: 17 | Training loss: 2.954290429183415 | Elapsed time: 107.2500593662262
Epoch: 18 | Training loss: 2.9276405300412858 | Elapsed time: 107.25636959075928
Epoch: 19 | Training loss: 2.9083470157214575 | Elapsed time: 107.16844844818115
Epoch: 20 | Training loss: 2.888640878881727 | Elapsed time: 107.27161884307861
Epoch: 21 | Training loss: 2.86455386025565 | Elapsed time: 107.20647144317627
Epoch: 22 | Training loss: 2.847909242766244 | Elapsed time: 107.25772356987
Epoch: 23 | Training loss: 2.8277479205812726 | Elapsed time: 107.21440601348877
Epoch: 24 | Training loss: 2.812577017715999 | Elapsed time: 107.19957947731018
Epoch: 25 | Training loss: 2.7888426729610987 | Elapsed time: 107.23086905479431
Epoch: 26 | Training loss: 2.7757261071886337 | Elapsed time: 107.37666749954224
Epoch: 27 | Training loss: 2.75777542420796 | Elapsed time: 107.3318681716919
Epoch: 28 | Training loss: 2.741096074240548 | Elapsed time: 107.28700280189514
Epoch: 29 | Training loss: 2.726985607828413 | Elapsed time: 107.30208921432495
Epoch: 30 | Training loss: 2.7096076812062946 | Elapsed time: 107.1735188961029
Epoch: 31 | Training loss: 2.6949075835091727 | Elapsed time: 107.2382161617279
Epoch: 32 | Training loss: 2.6799146243504115 | Elapsed time: 107.27233862876892
Epoch: 33 | Training loss: 2.6693823150226046 | Elapsed time: 107.14699506759644
Epoch: 34 | Training loss: 2.657530200481415 | Elapsed time: 107.38108086585999
Epoch: 35 | Training loss: 2.6400508795465742 | Elapsed time: 107.37304663658142
Epoch: 36 | Training loss: 2.627958171708243 | Elapsed time: 107.29577898979187
Epoch: 37 | Training loss: 2.6102931533540996 | Elapsed time: 107.25771045684814
Epoch: 38 | Training loss: 2.599521165234702 | Elapsed time: 107.21336030960083
Epoch: 39 | Training loss: 2.5902321287563868 | Elapsed time: 107.20561027526855
Epoch: 40 | Training loss: 2.5758979950632366 | Elapsed time: 107.24352884292603
Epoch: 41 | Training loss: 2.567044600418636 | Elapsed time: 107.18175673484802
Epoch: 42 | Training loss: 2.551152968406677 | Elapsed time: 107.20126438140869
Epoch: 43 | Training loss: 2.5437333515712193 | Elapsed time: 107.40668797492981
Epoch: 44 | Training loss: 2.534344034535544 | Elapsed time: 107.14783811569214
Epoch: 45 | Training loss: 2.5188755324908665 | Elapsed time: 107.20013475418091
Epoch: 46 | Training loss: 2.5075054287910463 | Elapsed time: 107.38851475715637
Epoch: 47 | Training loss: 2.4998206513268606 | Elapsed time: 107.22218871116638
Epoch: 48 | Training loss: 2.489240789413452 | Elapsed time: 107.31946349143982
Epoch: 49 | Training loss: 2.4797047359602793 | Elapsed time: 107.18747544288635
Epoch: 50 | Training loss: 2.4729466029575895 | Elapsed time: 107.17290210723877
Epoch: 51 | Training loss: 2.46480769940785 | Elapsed time: 107.33810615539551
Epoch: 52 | Training loss: 2.4491856013025557 | Elapsed time: 107.32268238067627
Epoch: 53 | Training loss: 2.443662859712328 | Elapsed time: 107.28500699996948
Epoch: 54 | Training loss: 2.4333232964788163 | Elapsed time: 107.2880449295044
Epoch: 55 | Training loss: 2.421758437156677 | Elapsed time: 107.2952229976654
Epoch: 56 | Training loss: 2.4153333425521852 | Elapsed time: 107.24719142913818
Epoch: 57 | Training loss: 2.403069964476994 | Elapsed time: 107.16018486022949
Epoch: 58 | Training loss: 2.400368597677776 | Elapsed time: 107.28315591812134
Epoch: 59 | Training loss: 2.3884583217757087 | Elapsed time: 107.36872243881226
Epoch: 60 | Training loss: 2.380836829968861 | Elapsed time: 107.2160108089447
Epoch: 61 | Training loss: 2.3735745923859732 | Elapsed time: 107.20164203643799
Epoch: 62 | Training loss: 2.3673187945570264 | Elapsed time: 107.25967311859131
Epoch: 63 | Training loss: 2.3599859442029683 | Elapsed time: 107.25563073158264
Epoch: 64 | Training loss: 2.3508571113858903 | Elapsed time: 107.21670508384705
Epoch: 65 | Training loss: 2.3424427356038775 | Elapsed time: 107.24462461471558
Epoch: 66 | Training loss: 2.3364452498299735 | Elapsed time: 107.34755754470825
Epoch: 67 | Training loss: 2.3279845203672136 | Elapsed time: 107.2467315196991
Epoch: 68 | Training loss: 2.321762944970812 | Elapsed time: 107.27062916755676
Epoch: 69 | Training loss: 2.316432295526777 | Elapsed time: 107.28250169754028
Epoch: 70 | Training loss: 2.300106626749039 | Elapsed time: 107.21863746643066
Epoch: 71 | Training loss: 2.3024605674403054 | Elapsed time: 107.18458104133606
Epoch: 72 | Training loss: 2.294270616769791 | Elapsed time: 107.23637318611145
Epoch: 73 | Training loss: 2.2853554666042326 | Elapsed time: 107.31223940849304
Epoch: 74 | Training loss: 2.2808099584920067 | Elapsed time: 107.29081845283508
Epoch: 75 | Training loss: 2.2716365218162538 | Elapsed time: 107.23227524757385
Epoch: 76 | Training loss: 2.2654409561838422 | Elapsed time: 107.2704873085022
Epoch: 77 | Training loss: 2.2651409702641625 | Elapsed time: 107.21270275115967
Epoch: 78 | Training loss: 2.255340599162238 | Elapsed time: 107.23785495758057
Epoch: 79 | Training loss: 2.2534022893224446 | Elapsed time: 107.32849764823914
Epoch: 80 | Training loss: 2.242221564905984 | Elapsed time: 107.2223162651062
Epoch: 81 | Training loss: 2.2365889506680623 | Elapsed time: 107.22555184364319
Epoch: 82 | Training loss: 2.231533864566258 | Elapsed time: 107.30358004570007
Epoch: 83 | Training loss: 2.2272605538368224 | Elapsed time: 107.20103096961975
Epoch: 84 | Training loss: 2.2225435427256994 | Elapsed time: 107.22919368743896
Epoch: 85 | Training loss: 2.2120097160339354 | Elapsed time: 107.28121995925903
Epoch: 86 | Training loss: 2.2085047372749873 | Elapsed time: 107.19603967666626
Epoch: 87 | Training loss: 2.2068079786641257 | Elapsed time: 107.18660044670105
Epoch: 88 | Training loss: 2.197493530171258 | Elapsed time: 107.26719689369202
Epoch: 89 | Training loss: 2.195144269296101 | Elapsed time: 107.39060640335083
Epoch: 90 | Training loss: 2.1911619492939542 | Elapsed time: 107.25340676307678
Epoch: 91 | Training loss: 2.1849520981311796 | Elapsed time: 107.25173687934875
Epoch: 92 | Training loss: 2.1749819891793387 | Elapsed time: 107.32315492630005
Epoch: 93 | Training loss: 2.17160867197173 | Elapsed time: 107.19375920295715
Epoch: 94 | Training loss: 2.1691124754292623 | Elapsed time: 107.25978493690491
Epoch: 95 | Training loss: 2.1603524148464204 | Elapsed time: 107.22938513755798
Epoch: 96 | Training loss: 2.153687974384853 | Elapsed time: 107.27136015892029
Epoch: 97 | Training loss: 2.154430218253817 | Elapsed time: 107.34871864318848
Epoch: 98 | Training loss: 2.1459355447973523 | Elapsed time: 107.18434691429138
Epoch: 99 | Training loss: 2.1431340915816173 | Elapsed time: 107.2829532623291
Epoch: 100 | Training loss: 2.1374589213303157 | Elapsed time: 107.40719151496887
Saving model to: /scratch/eo41/visual-recognition-memory/gpt_finetuned_models/imagenet100_gimel_konkle_nonvehicle_100.pt
Epoch: 101 | Training loss: 2.1351189826216017 | Elapsed time: 107.2813823223114
Epoch: 102 | Training loss: 2.1299522953374046 | Elapsed time: 107.2158989906311
Epoch: 103 | Training loss: 2.122467915500913 | Elapsed time: 107.21878719329834
Epoch: 104 | Training loss: 2.1178491371018544 | Elapsed time: 107.24470567703247
Epoch: 105 | Training loss: 2.115115143571581 | Elapsed time: 107.15576648712158
Epoch: 106 | Training loss: 2.1112741862024578 | Elapsed time: 107.26887226104736
Epoch: 107 | Training loss: 2.1020584191594804 | Elapsed time: 107.20394039154053
Epoch: 108 | Training loss: 2.1019069356577735 | Elapsed time: 107.23250007629395
Epoch: 109 | Training loss: 2.096492390973227 | Elapsed time: 107.21251034736633
Epoch: 110 | Training loss: 2.091128865310124 | Elapsed time: 107.24582552909851
Epoch: 111 | Training loss: 2.0895174273422787 | Elapsed time: 107.17692470550537
Epoch: 112 | Training loss: 2.07965390256473 | Elapsed time: 107.20917987823486
Epoch: 113 | Training loss: 2.0792938223906927 | Elapsed time: 107.27047681808472
Epoch: 114 | Training loss: 2.073502301318305 | Elapsed time: 107.26364874839783
Epoch: 115 | Training loss: 2.072584015130997 | Elapsed time: 107.33182621002197
Epoch: 116 | Training loss: 2.0702346427100045 | Elapsed time: 107.32749891281128
Epoch: 117 | Training loss: 2.063783767393657 | Elapsed time: 107.38068222999573
Epoch: 118 | Training loss: 2.056426588126591 | Elapsed time: 107.40835452079773
Epoch: 119 | Training loss: 2.0543849400111607 | Elapsed time: 107.24863409996033
Epoch: 120 | Training loss: 2.049808876003538 | Elapsed time: 107.40278387069702
Epoch: 121 | Training loss: 2.047460526227951 | Elapsed time: 107.23448848724365
Epoch: 122 | Training loss: 2.043642887047359 | Elapsed time: 107.25792050361633
Epoch: 123 | Training loss: 2.038871249130794 | Elapsed time: 107.30299925804138
Epoch: 124 | Training loss: 2.034333851507732 | Elapsed time: 107.26326084136963
Epoch: 125 | Training loss: 2.0351661895002637 | Elapsed time: 107.32768535614014
Epoch: 126 | Training loss: 2.0281273433140345 | Elapsed time: 107.25938868522644
Epoch: 127 | Training loss: 2.0245457070214408 | Elapsed time: 107.25046014785767
Epoch: 128 | Training loss: 2.024148214714868 | Elapsed time: 107.20389223098755
Epoch: 129 | Training loss: 2.0191361546516418 | Elapsed time: 107.20530271530151
Epoch: 130 | Training loss: 2.014864274433681 | Elapsed time: 107.2284140586853
Epoch: 131 | Training loss: 2.01055286186082 | Elapsed time: 107.25927996635437
