Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='s_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='s_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 2121 images, and takes 133 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 5.758957927388356 | Elapsed time: 394.98446774482727
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/s_gimel_konkle_iid_0.pt
Epoch: 1 | Training loss: 5.01440755944503 | Elapsed time: 382.3137114048004
Epoch: 2 | Training loss: 4.757638398866008 | Elapsed time: 382.8123519420624
Epoch: 3 | Training loss: 4.582252776712403 | Elapsed time: 384.254052400589
Epoch: 4 | Training loss: 4.451536827517631 | Elapsed time: 382.884726524353
Epoch: 5 | Training loss: 4.305290718723957 | Elapsed time: 383.23560190200806
Epoch: 6 | Training loss: 4.237972555303932 | Elapsed time: 383.27010345458984
Epoch: 7 | Training loss: 4.133893993564118 | Elapsed time: 383.1483016014099
Epoch: 8 | Training loss: 4.025350224702878 | Elapsed time: 383.51865816116333
Epoch: 9 | Training loss: 3.9517481488392767 | Elapsed time: 383.404141664505
Epoch: 10 | Training loss: 3.823067064572098 | Elapsed time: 384.20039677619934
Epoch: 11 | Training loss: 3.7659394077788617 | Elapsed time: 383.47869086265564
Epoch: 12 | Training loss: 3.7235434646893264 | Elapsed time: 383.04510855674744
Epoch: 13 | Training loss: 3.6743600045827995 | Elapsed time: 383.0877454280853
Epoch: 14 | Training loss: 3.608833081740186 | Elapsed time: 383.48211669921875
Epoch: 15 | Training loss: 3.510653008195691 | Elapsed time: 382.8524262905121
Epoch: 16 | Training loss: 3.5139534545124027 | Elapsed time: 382.93554759025574
Epoch: 17 | Training loss: 3.475687640053885 | Elapsed time: 383.62100625038147
Epoch: 18 | Training loss: 3.410440851871232 | Elapsed time: 383.63650274276733
Epoch: 19 | Training loss: 3.410730630831611 | Elapsed time: 384.5107536315918
Epoch: 20 | Training loss: 3.37105037036695 | Elapsed time: 382.9104754924774
Epoch: 21 | Training loss: 3.3408800031905783 | Elapsed time: 383.48144340515137
Epoch: 22 | Training loss: 3.2983643166104653 | Elapsed time: 383.12694478034973
Epoch: 23 | Training loss: 3.303458086530069 | Elapsed time: 383.11021399497986
Epoch: 24 | Training loss: 3.257714137098843 | Elapsed time: 383.10069012641907
Epoch: 25 | Training loss: 3.183646263036513 | Elapsed time: 383.20746421813965
Epoch: 26 | Training loss: 3.1624876018753625 | Elapsed time: 383.2524039745331
Epoch: 27 | Training loss: 3.127494566422656 | Elapsed time: 383.2653422355652
Epoch: 28 | Training loss: 3.0937501487875343 | Elapsed time: 383.8791744709015
Epoch: 29 | Training loss: 3.055033556500772 | Elapsed time: 382.9922499656677
Epoch: 30 | Training loss: 3.0364572804673275 | Elapsed time: 383.0646462440491
Epoch: 31 | Training loss: 2.9944488392736677 | Elapsed time: 383.0664231777191
Epoch: 32 | Training loss: 2.992884393921472 | Elapsed time: 383.34350061416626
Epoch: 33 | Training loss: 2.9751407275522563 | Elapsed time: 383.156676530838
Epoch: 34 | Training loss: 2.867944331993734 | Elapsed time: 383.43781542778015
Epoch: 35 | Training loss: 2.9206463107489107 | Elapsed time: 383.2466630935669
Epoch: 36 | Training loss: 2.8597948067170336 | Elapsed time: 383.88328981399536
Epoch: 37 | Training loss: 2.8585056953860404 | Elapsed time: 383.1818630695343
Epoch: 38 | Training loss: 2.8118517309203184 | Elapsed time: 383.08390259742737
Epoch: 39 | Training loss: 2.7863661364505163 | Elapsed time: 382.99712777137756
Epoch: 40 | Training loss: 2.791424010032998 | Elapsed time: 383.32148480415344
Epoch: 41 | Training loss: 2.7467388945414606 | Elapsed time: 383.38888812065125
Epoch: 42 | Training loss: 2.7145021840145716 | Elapsed time: 383.4065680503845
Epoch: 43 | Training loss: 2.7417684067460826 | Elapsed time: 383.5558292865753
Epoch: 44 | Training loss: 2.6755727744640265 | Elapsed time: 383.39575457572937
Epoch: 45 | Training loss: 2.6965736607859907 | Elapsed time: 383.189670085907
Epoch: 46 | Training loss: 2.6902012860864626 | Elapsed time: 383.00439858436584
Epoch: 47 | Training loss: 2.6380695552754223 | Elapsed time: 382.89161443710327
