Namespace(data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='s_gimel_konkle_nonvehicle', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_ood/vehicle_vs_nonvehicle/nonvehicle', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/s_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='s_gimel_konkle_nonvehicle', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 4462 images, and takes 279 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/s_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 5.290117929485963 | Elapsed time: 803.2359926700592
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/s_gimel_konkle_nonvehicle_0.pt
Epoch: 1 | Training loss: 4.443388134775196 | Elapsed time: 798.42391705513
Epoch: 2 | Training loss: 4.221010792639948 | Elapsed time: 798.548094034195
Epoch: 3 | Training loss: 4.089014577181963 | Elapsed time: 798.6428921222687
Epoch: 4 | Training loss: 4.036759161180066 | Elapsed time: 798.7019391059875
Epoch: 5 | Training loss: 3.980283444073038 | Elapsed time: 798.6381816864014
Epoch: 6 | Training loss: 3.9512049425460103 | Elapsed time: 798.6920251846313
Epoch: 7 | Training loss: 3.9276953589531685 | Elapsed time: 798.896960735321
Epoch: 8 | Training loss: 3.8591037642571235 | Elapsed time: 798.6825306415558
Epoch: 9 | Training loss: 3.6792909637574227 | Elapsed time: 798.7270395755768
Epoch: 10 | Training loss: 3.5412926161161034 | Elapsed time: 798.6436426639557
Epoch: 11 | Training loss: 3.509840073124055 | Elapsed time: 798.5843164920807
Epoch: 12 | Training loss: 3.451876043846103 | Elapsed time: 798.5931191444397
Epoch: 13 | Training loss: 3.4289036378211017 | Elapsed time: 798.6311514377594
Epoch: 14 | Training loss: 3.3829634745061186 | Elapsed time: 798.5733046531677
Epoch: 15 | Training loss: 3.348603805760756 | Elapsed time: 798.5511989593506
Epoch: 16 | Training loss: 3.298289535720716 | Elapsed time: 798.4969449043274
Epoch: 17 | Training loss: 3.238959956767311 | Elapsed time: 798.5603229999542
Epoch: 18 | Training loss: 3.2070479632278497 | Elapsed time: 798.5712432861328
Epoch: 19 | Training loss: 3.159536815458728 | Elapsed time: 798.5784475803375
Epoch: 20 | Training loss: 3.155786386100195 | Elapsed time: 798.6895699501038
Epoch: 21 | Training loss: 3.078222058579913 | Elapsed time: 798.6667101383209
Epoch: 22 | Training loss: 3.049393259923518 | Elapsed time: 798.5472910404205
Epoch: 23 | Training loss: 3.0189856769363512 | Elapsed time: 798.5395202636719
Epoch: 24 | Training loss: 2.9934408835612745 | Elapsed time: 798.6272065639496
Epoch: 25 | Training loss: 2.973789388560907 | Elapsed time: 798.5892817974091
Epoch: 26 | Training loss: 2.9289882418075344 | Elapsed time: 798.6802458763123
Epoch: 27 | Training loss: 2.9016848362474885 | Elapsed time: 798.6885166168213
Epoch: 28 | Training loss: 2.8576172833801596 | Elapsed time: 798.6289739608765
Epoch: 29 | Training loss: 2.8329159683651395 | Elapsed time: 798.4806718826294
Epoch: 30 | Training loss: 2.8168882742577557 | Elapsed time: 798.6282153129578
Epoch: 31 | Training loss: 2.80262822660494 | Elapsed time: 798.5889313220978
Epoch: 32 | Training loss: 2.8060764399053375 | Elapsed time: 798.383472442627
Epoch: 33 | Training loss: 2.737866078653643 | Elapsed time: 798.537606716156
Epoch: 34 | Training loss: 2.715048570786753 | Elapsed time: 798.4831182956696
Epoch: 35 | Training loss: 2.701165947862851 | Elapsed time: 798.6482491493225
Epoch: 36 | Training loss: 2.70371253345175 | Elapsed time: 798.7214777469635
Epoch: 37 | Training loss: 2.6808161030533495 | Elapsed time: 798.5510721206665
Epoch: 38 | Training loss: 2.6690563070304076 | Elapsed time: 798.599684715271
Epoch: 39 | Training loss: 2.6374780849743913 | Elapsed time: 798.4681804180145
Epoch: 40 | Training loss: 2.6108103234280824 | Elapsed time: 798.5540335178375
Epoch: 41 | Training loss: 2.6259387000914542 | Elapsed time: 798.4893610477448
Epoch: 42 | Training loss: 2.5871411369692896 | Elapsed time: 798.5875949859619
Epoch: 43 | Training loss: 2.625702564007065 | Elapsed time: 798.4443273544312
Epoch: 44 | Training loss: 2.5923778874045205 | Elapsed time: 798.4776449203491
Epoch: 45 | Training loss: 2.5810053878360324 | Elapsed time: 798.6076047420502
Epoch: 46 | Training loss: 2.592946991698289 | Elapsed time: 798.6225256919861
Epoch: 47 | Training loss: 2.5406196002037293 | Elapsed time: 798.6113963127136
Epoch: 48 | Training loss: 2.5303798200409044 | Elapsed time: 798.5809197425842
Epoch: 49 | Training loss: 2.529337950504809 | Elapsed time: 798.5867764949799
Epoch: 50 | Training loss: 2.5176358919417132 | Elapsed time: 798.5431866645813
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/s_gimel_konkle_nonvehicle_50.pt
Epoch: 51 | Training loss: 2.4961061033296756 | Elapsed time: 798.409348487854
Epoch: 52 | Training loss: 2.498664535501952 | Elapsed time: 798.4041655063629
Epoch: 53 | Training loss: 2.486206952816269 | Elapsed time: 798.6021394729614
Epoch: 54 | Training loss: 2.473263866157942 | Elapsed time: 798.5150880813599
Epoch: 55 | Training loss: 2.4892448558602283 | Elapsed time: 798.5780153274536
Epoch: 56 | Training loss: 2.4587723875558503 | Elapsed time: 798.5206897258759
Epoch: 57 | Training loss: 2.467241744841299 | Elapsed time: 798.7778542041779
Epoch: 58 | Training loss: 2.442512929225908 | Elapsed time: 798.6657340526581
Epoch: 59 | Training loss: 2.4479406055156474 | Elapsed time: 798.9904520511627
Epoch: 60 | Training loss: 2.4107257871217627 | Elapsed time: 798.7009916305542
Epoch: 61 | Training loss: 2.4066765804017316 | Elapsed time: 798.6484181880951
Epoch: 62 | Training loss: 2.415523607243774 | Elapsed time: 798.6037037372589
Epoch: 63 | Training loss: 2.386753496303353 | Elapsed time: 798.9793651103973
Epoch: 64 | Training loss: 2.392145785806854 | Elapsed time: 798.8637177944183
Epoch: 65 | Training loss: 2.379420509047833 | Elapsed time: 798.672598361969
Epoch: 66 | Training loss: 2.3726173036841938 | Elapsed time: 798.6207857131958
Epoch: 67 | Training loss: 2.3797576064277295 | Elapsed time: 798.7419321537018
Epoch: 68 | Training loss: 2.3573342980449774 | Elapsed time: 798.8313341140747
Epoch: 69 | Training loss: 2.370285879753824 | Elapsed time: 798.5652408599854
Epoch: 70 | Training loss: 2.3375768400862227 | Elapsed time: 798.6568381786346
Epoch: 71 | Training loss: 2.3502638510905713 | Elapsed time: 798.5399723052979
Epoch: 72 | Training loss: 2.3284354167172556 | Elapsed time: 798.6111168861389
Epoch: 73 | Training loss: 2.323933306133448 | Elapsed time: 798.6382970809937
Epoch: 74 | Training loss: 2.338733676941164 | Elapsed time: 798.642055273056
Epoch: 75 | Training loss: 2.3380479419530507 | Elapsed time: 798.5798444747925
Epoch: 76 | Training loss: 2.3403707729872836 | Elapsed time: 798.6117527484894
Epoch: 77 | Training loss: 2.314679262458637 | Elapsed time: 798.8631768226624
Epoch: 78 | Training loss: 2.3117056465490746 | Elapsed time: 798.7488143444061
Epoch: 79 | Training loss: 2.322950526804907 | Elapsed time: 798.6864516735077
Epoch: 80 | Training loss: 2.309335003189716 | Elapsed time: 798.675745010376
Epoch: 81 | Training loss: 2.2906899486391348 | Elapsed time: 798.6824290752411
Epoch: 82 | Training loss: 2.283558571637745 | Elapsed time: 798.8159005641937
Epoch: 83 | Training loss: 2.2868453580418797 | Elapsed time: 798.6765666007996
Epoch: 84 | Training loss: 2.251464815549953 | Elapsed time: 798.7536051273346
Epoch: 85 | Training loss: 2.2568168887955316 | Elapsed time: 798.708779335022
Epoch: 86 | Training loss: 2.2696059203062435 | Elapsed time: 798.6251425743103
Epoch: 87 | Training loss: 2.274310542263865 | Elapsed time: 798.5648248195648
Epoch: 88 | Training loss: 2.280977397409391 | Elapsed time: 798.5933563709259
Epoch: 89 | Training loss: 2.249214136045039 | Elapsed time: 798.5336771011353
Epoch: 90 | Training loss: 2.250726225555584 | Elapsed time: 798.6587994098663
Epoch: 91 | Training loss: 2.240593434234674 | Elapsed time: 798.688873052597
Epoch: 92 | Training loss: 2.2410644070649233 | Elapsed time: 798.663773059845
Epoch: 93 | Training loss: 2.2493440998070557 | Elapsed time: 798.674503326416
Epoch: 94 | Training loss: 2.231963530663521 | Elapsed time: 798.652551651001
Epoch: 95 | Training loss: 2.220068267596665 | Elapsed time: 798.8451859951019
Epoch: 96 | Training loss: 2.2135282468624866 | Elapsed time: 798.9234566688538
Epoch: 97 | Training loss: 2.22438387204242 | Elapsed time: 798.9510400295258
Epoch: 98 | Training loss: 2.211879161950935 | Elapsed time: 798.7259376049042
Epoch: 99 | Training loss: 2.212653169067957 | Elapsed time: 798.774293422699
Epoch: 100 | Training loss: 2.185456985641124 | Elapsed time: 798.8311314582825
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/s_gimel_konkle_nonvehicle_100.pt
Epoch: 101 | Training loss: 2.1848655375101234 | Elapsed time: 798.5039806365967
Epoch: 102 | Training loss: 2.198042374357955 | Elapsed time: 798.7840723991394
Epoch: 103 | Training loss: 2.186932854327677 | Elapsed time: 798.6958653926849
Epoch: 104 | Training loss: 2.16333317030288 | Elapsed time: 798.691816329956
Epoch: 105 | Training loss: 2.196632486090438 | Elapsed time: 798.8288817405701
Epoch: 106 | Training loss: 2.1721534635003747 | Elapsed time: 798.8799107074738
Epoch: 107 | Training loss: 2.1786411539200814 | Elapsed time: 798.8200333118439
