Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/say_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/say_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='say_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/say_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/say_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/say_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='say_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/say_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 2121 images, and takes 133 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/say_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 3.779388121196202 | Elapsed time: 390.66883754730225
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/say_gimel_konkle_iid_0.pt
Epoch: 1 | Training loss: 3.510163006029631 | Elapsed time: 381.0503361225128
Epoch: 2 | Training loss: 3.4890769442221274 | Elapsed time: 381.16912841796875
Epoch: 3 | Training loss: 3.4589897797519997 | Elapsed time: 381.1661705970764
Epoch: 4 | Training loss: 3.4079764552582477 | Elapsed time: 381.29096126556396
Epoch: 5 | Training loss: 3.338595790074284 | Elapsed time: 381.2898893356323
Epoch: 6 | Training loss: 3.3399259291197123 | Elapsed time: 380.8918607234955
Epoch: 7 | Training loss: 3.3093300923368987 | Elapsed time: 381.0592465400696
Epoch: 8 | Training loss: 3.255786623273577 | Elapsed time: 381.14143419265747
Epoch: 9 | Training loss: 3.2393363705255034 | Elapsed time: 381.2017271518707
Epoch: 10 | Training loss: 3.150146516642176 | Elapsed time: 381.22852873802185
Epoch: 11 | Training loss: 3.1474553230113553 | Elapsed time: 381.15416073799133
Epoch: 12 | Training loss: 3.1127303489168785 | Elapsed time: 381.09550380706787
Epoch: 13 | Training loss: 3.09683895111084 | Elapsed time: 381.3871965408325
Epoch: 14 | Training loss: 3.0491517522281275 | Elapsed time: 380.95719861984253
Epoch: 15 | Training loss: 2.9599882229826506 | Elapsed time: 381.1423773765564
Epoch: 16 | Training loss: 2.9685490436123727 | Elapsed time: 381.17435479164124
Epoch: 17 | Training loss: 2.9238411663170147 | Elapsed time: 381.17313599586487
Epoch: 18 | Training loss: 2.8735012963302156 | Elapsed time: 381.2546308040619
Epoch: 19 | Training loss: 2.877682606976731 | Elapsed time: 381.0523772239685
Epoch: 20 | Training loss: 2.8395956521643733 | Elapsed time: 381.2792012691498
Epoch: 21 | Training loss: 2.816980835190393 | Elapsed time: 381.02122497558594
Epoch: 22 | Training loss: 2.7894066563226225 | Elapsed time: 380.9994606971741
Epoch: 23 | Training loss: 2.7979108095169067 | Elapsed time: 381.1630642414093
Epoch: 24 | Training loss: 2.76573377802856 | Elapsed time: 381.1756353378296
Epoch: 25 | Training loss: 2.7170471903076745 | Elapsed time: 381.01990127563477
Epoch: 26 | Training loss: 2.705655417047945 | Elapsed time: 381.06614995002747
Epoch: 27 | Training loss: 2.6882399795646954 | Elapsed time: 381.22805666923523
Epoch: 28 | Training loss: 2.6718710275520956 | Elapsed time: 381.2502703666687
Epoch: 29 | Training loss: 2.647458659975152 | Elapsed time: 381.23982310295105
Epoch: 30 | Training loss: 2.637309782487109 | Elapsed time: 381.195925951004
Epoch: 31 | Training loss: 2.6121723616033568 | Elapsed time: 381.1996693611145
Epoch: 32 | Training loss: 2.616839181211658 | Elapsed time: 381.2053611278534
Epoch: 33 | Training loss: 2.6115139758676515 | Elapsed time: 381.1738500595093
Epoch: 34 | Training loss: 2.5302220197548544 | Elapsed time: 381.18062257766724
Epoch: 35 | Training loss: 2.5808615559025814 | Elapsed time: 381.0419702529907
Epoch: 36 | Training loss: 2.5294918780936335 | Elapsed time: 381.13737416267395
Epoch: 37 | Training loss: 2.5371396209960593 | Elapsed time: 380.9893193244934
Epoch: 38 | Training loss: 2.502010198464071 | Elapsed time: 381.04204773902893
Epoch: 39 | Training loss: 2.4899195611925053 | Elapsed time: 381.46039175987244
Epoch: 40 | Training loss: 2.495149454676119 | Elapsed time: 381.1091434955597
Epoch: 41 | Training loss: 2.463200288607662 | Elapsed time: 381.16584634780884
Epoch: 42 | Training loss: 2.433345418227346 | Elapsed time: 381.1418478488922
Epoch: 43 | Training loss: 2.4660486798537407 | Elapsed time: 381.346976518631
Epoch: 44 | Training loss: 2.40767476791726 | Elapsed time: 381.16696882247925
Epoch: 45 | Training loss: 2.42886633801281 | Elapsed time: 380.9819028377533
Epoch: 46 | Training loss: 2.4355394006671762 | Elapsed time: 381.1928074359894
Epoch: 47 | Training loss: 2.390038383634467 | Elapsed time: 381.002836227417
