Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/y_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/y_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='y_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/y_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
Namespace(data_path='/vast/eo41/data/konkle_split/train', vqconfig_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/y_32x32_8192.yaml', vqmodel_path='/scratch/eo41/vqgan-gpt/vqgan_pretrained_models/y_32x32_8192.ckpt', num_workers=16, seed=0, save_dir='/scratch/eo41/vqgan-gpt/gpt_finetuned_models', save_prefix='y_gimel_konkle_iid', save_freq=50, gpt_config='GPT_gimel', vocab_size=8192, block_size=1023, batch_size=8, lr=0.0003, optimizer='Adam', epochs=1000, resume='/scratch/eo41/vqgan-gpt/gpt_pretrained_models/y_gimel.pt', gpu=None, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1)
model:
  base_learning_rate: 1.0e-05
  params:
    ddconfig:
      attn_resolutions:
      - 32
      ch: 128
      ch_mult:
      - 1
      - 1
      - 2
      - 4
      double_z: false
      dropout: 0.0
      in_channels: 3
      num_res_blocks: 2
      out_ch: 3
      resolution: 256
      z_channels: 256
    embed_dim: 256
    lossconfig:
      params:
        codebook_weight: 1.0
        disc_conditional: false
        disc_in_channels: 3
        disc_start: 100001
        disc_weight: 0.2
      target: vqloss.VQLPIPSWithDiscriminator
    n_embed: 8192
  target: vqmodel.VQModel

Working with z of shape (1, 256, 32, 32) = 262144 dimensions.
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
loaded pretrained LPIPS loss from taming/modules/autoencoder/lpips/vgg.pth
VQLPIPSWithDiscriminator running with hinge loss.
Data loaded: dataset contains 2121 images, and takes 133 training iterations per epoch.
Number of parameters: 730671360
Running on 2 GPUs total
=> loaded model weights and optimizer state at checkpoint '/scratch/eo41/vqgan-gpt/gpt_pretrained_models/y_gimel.pt'
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
/scratch/eo41/miniconda3/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
Epoch: 0 | Training loss: 3.5949188533582186 | Elapsed time: 385.3157124519348
Saving model to: /scratch/eo41/vqgan-gpt/gpt_finetuned_models/y_gimel_konkle_iid_0.pt
Epoch: 1 | Training loss: 3.1983775967045833 | Elapsed time: 381.5493450164795
Epoch: 2 | Training loss: 3.1616766649977603 | Elapsed time: 381.70718693733215
Epoch: 3 | Training loss: 3.114202641006699 | Elapsed time: 381.56143712997437
Epoch: 4 | Training loss: 3.049391922197844 | Elapsed time: 381.68039536476135
Epoch: 5 | Training loss: 2.9607917455802286 | Elapsed time: 381.6578209400177
Epoch: 6 | Training loss: 2.9418789157293794 | Elapsed time: 381.5956377983093
Epoch: 7 | Training loss: 2.8771490611528097 | Elapsed time: 381.72600531578064
Epoch: 8 | Training loss: 2.7908753739263776 | Elapsed time: 381.61181139945984
Epoch: 9 | Training loss: 2.7438343628904875 | Elapsed time: 381.66613578796387
Epoch: 10 | Training loss: 2.6219371449678466 | Elapsed time: 381.7120432853699
Epoch: 11 | Training loss: 2.5948848652660397 | Elapsed time: 381.6222400665283
Epoch: 12 | Training loss: 2.5217265464309464 | Elapsed time: 381.7259669303894
Epoch: 13 | Training loss: 2.490184017590114 | Elapsed time: 381.72016882896423
Epoch: 14 | Training loss: 2.431299864797664 | Elapsed time: 381.6751227378845
Epoch: 15 | Training loss: 2.32101941825752 | Elapsed time: 381.74585700035095
Epoch: 16 | Training loss: 2.3114183119365146 | Elapsed time: 381.62575817108154
Epoch: 17 | Training loss: 2.258285723234478 | Elapsed time: 381.6545534133911
Epoch: 18 | Training loss: 2.2022040114366916 | Elapsed time: 381.6200680732727
Epoch: 19 | Training loss: 2.188337685470294 | Elapsed time: 381.7237675189972
Epoch: 20 | Training loss: 2.1486735630752447 | Elapsed time: 381.5855529308319
Epoch: 21 | Training loss: 2.1218997607553813 | Elapsed time: 381.601603269577
Epoch: 22 | Training loss: 2.08232517529251 | Elapsed time: 381.60856771469116
Epoch: 23 | Training loss: 2.084611509079324 | Elapsed time: 381.6091902256012
Epoch: 24 | Training loss: 2.041209111536356 | Elapsed time: 381.59695410728455
Epoch: 25 | Training loss: 2.000667796995407 | Elapsed time: 381.6249272823334
Epoch: 26 | Training loss: 1.985439486073372 | Elapsed time: 381.65831232070923
Epoch: 27 | Training loss: 1.959316671342778 | Elapsed time: 381.79821395874023
Epoch: 28 | Training loss: 1.9437410051661326 | Elapsed time: 382.00245809555054
Epoch: 29 | Training loss: 1.9159384024770636 | Elapsed time: 381.94227862358093
Epoch: 30 | Training loss: 1.901708007755136 | Elapsed time: 381.98485708236694
Epoch: 31 | Training loss: 1.8719965156755949 | Elapsed time: 382.0247223377228
Epoch: 32 | Training loss: 1.8741357434064823 | Elapsed time: 381.97570180892944
Epoch: 33 | Training loss: 1.8707312578545476 | Elapsed time: 382.046284198761
Epoch: 34 | Training loss: 1.8094931589929681 | Elapsed time: 381.9069986343384
Epoch: 35 | Training loss: 1.8321732094413357 | Elapsed time: 382.0276975631714
Epoch: 36 | Training loss: 1.789985077721732 | Elapsed time: 382.0193819999695
Epoch: 37 | Training loss: 1.78983629915051 | Elapsed time: 381.9910056591034
Epoch: 38 | Training loss: 1.7565968027688508 | Elapsed time: 382.0039975643158
Epoch: 39 | Training loss: 1.7485675542874444 | Elapsed time: 381.9534568786621
Epoch: 40 | Training loss: 1.7515939671294134 | Elapsed time: 382.034606218338
Epoch: 41 | Training loss: 1.720437679075657 | Elapsed time: 381.948712348938
Epoch: 42 | Training loss: 1.6951077307077278 | Elapsed time: 381.9387550354004
Epoch: 43 | Training loss: 1.7132301088562585 | Elapsed time: 382.0162363052368
Epoch: 44 | Training loss: 1.6681140679165833 | Elapsed time: 382.0710837841034
Epoch: 45 | Training loss: 1.6835489031067468 | Elapsed time: 381.9370684623718
Epoch: 46 | Training loss: 1.6856212884859931 | Elapsed time: 382.21511030197144
Epoch: 47 | Training loss: 1.64308606413074 | Elapsed time: 381.91191720962524
